Date,Team,Pitcher,SO_Projection,Model_Id,OU,Over_Odds,Scale_Over,Under_Odds,Scale_Over,BE_Over,BE_Under,Poisson_Over,Poison_Under,Edge_Over,Edge_Under,OverUnder_Id,Platform,Bet_Amt,Win_Loss,Net,Net_Auto,Secondary
6/15/2022,KC,Jonathan Heasley,3.85,1,3.5,-105,-0.952380952,-120,-0.833333333,0.512,0.545,0.537,0.463,2.449%,-8.214%,0,1,0.00,,,,
6/15/2022,MIN,Sonny Gray,4.58,1,4.5,-140,-0.714285714,105,1.05,0.583,0.488,0.483,0.517,-10.032%,2.918%,0,1,0.00,,,,
6/15/2022,SEA,Marco Gonzales,4.05,1,4.5,-140,-0.714285714,105,1.05,0.583,0.488,0.381,0.619,-20.240%,13.126%,1,1,25.00,W,26.25,26.25,
6/15/2022,ATL,Spencer Strider,5.48,1,5.5,-110,-0.909090909,-130,-0.769230769,0.524,0.565,0.468,0.532,-5.616%,-3.287%,0,1,0.00,,,,
6/15/2022,WSH,Erick Fedde,4.35,1,4.5,-115,-0.869565217,-115,-0.869565217,0.535,0.535,0.439,0.561,-9.568%,2.591%,0,1,0.00,,,,
6/15/2022,NYY,Nestor Cortes,5.60,1,5.5,-155,-0.64516129,115,1.15,0.608,0.465,0.488,0.512,-11.970%,4.674%,0,1,0.00,,,,
6/15/2022,TB,Shane McClanahan,5.60,1,7.5,118,1.18,-138,-0.724637681,0.459,0.580,0.203,0.797,-25.569%,21.714%,1,2,13.80,W,10.00,10.00,
6/15/2022,BAL,Bruce Zimmermann,3.01,1,3.5,135,1.35,-180,-0.555555556,0.426,0.643,0.355,0.645,-7.052%,0.213%,0,1,0.00,,,,
6/15/2022,TOR,Jose Berrios,5.45,1,5.5,-135,-0.740740741,100,1,0.574,0.500,0.462,0.538,-11.198%,3.751%,0,1,0.00,,,,
6/15/2022,MIL,Corbin Burnes,6.77,1,6.5,-135,-0.740740741,140,1.4,0.574,0.417,0.515,0.485,-5.898%,6.785%,1,1,5.00,L,-5.00,-5.00,
6/15/2022,NYM,David Peterson,5.10,1,4.5,127,1.27,-120,-0.833333333,0.441,0.545,0.577,0.423,13.635%,-12.233%,2,1,10.00,L,-10.00,-10.00,
6/15/2022,OAK,James Kaprielian,4.02,1,4.5,140,1.4,-190,-0.526315789,0.417,0.655,0.375,0.625,-4.160%,-3.024%,0,1,0.00,,,,
6/15/2022,BOS,Josh Winckowski,4.37,1,4.5,140,1.4,-185,-0.540540541,0.417,0.649,0.443,0.557,2.639%,-9.218%,0,1,0.00,,,,
6/15/2022,PIT,Roansy Contreras,5.03,1,4.5,108,1.08,-138,-0.724637681,0.481,0.580,0.565,0.435,8.399%,-14.459%,2,2,10.00,L,-10.00,-10.00,
6/15/2022,CHC,Calb Kilian,3.69,1,3.5,-130,-0.769230769,-105,-0.952380952,0.565,0.512,0.504,0.496,-6.146%,-1.595%,0,1,0.00,,,,
6/15/2022,SD,Ryan Weathers,3.17,1,3.5,130,1.3,-170,-0.588235294,0.435,0.630,0.391,0.609,-4.399%,-2.043%,0,1,0.00,,,,
6/15/2022,COL,Austin Gomber,3.39,1,3.5,-110,-0.909090909,-120,-0.833333333,0.524,0.545,0.439,0.561,-8.435%,1.509%,0,1,0.00,,,,
6/15/2022,CLE,Konnor Pilkington,3.53,1,3.5,-145,-0.689655172,110,1.1,0.592,0.476,0.470,0.530,-12.201%,5.398%,1,1,0.00,,,,
6/15/2022,LAA,Reid Detmers,3.53,1,3.5,-120,-0.833333333,-110,-0.909090909,0.545,0.524,0.470,0.530,-7.563%,0.636%,0,1,0.00,,,,
6/15/2022,LAD,Tyler Anderson,4.75,1,5.5,120,1.2,-160,-0.625,0.455,0.615,0.340,0.660,-11.428%,4.435%,0,1,0.00,,,,
6/16/2022,BAL,Tyler Wells,3.27,1,4.5,128,1.28,-164,-0.609756098,0.439,0.621,0.232,0.768,-20.664%,14.683%,1,2,16.40,W,10.00,10.00,
6/16/2022,OAK,Paul Blackburn,3.55,1,3.5,-124,-0.806451613,-102,-0.980392157,0.554,0.505,0.474,0.526,-7.945%,2.093%,0,2,0.00,,,,
6/16/2022,BOS,Rich Hill,4.40,1,4.5,-126,-0.793650794,-102,-0.980392157,0.558,0.505,0.449,0.551,-10.871%,4.623%,0,2,0.00,,,,
6/16/2022,SD,Joe Musgrove,5.70,1,5.5,-152,-0.657894737,120,1.2,0.603,0.455,0.505,0.495,-9.816%,4.044%,0,2,0.00,,,,
6/16/2022,CHC,Matt Swarmer,3.27,1,3.5,-150,-0.666666667,118,1.18,0.600,0.459,0.413,0.587,-18.697%,12.826%,1,2,5.00,L,-5.00,-5.00,
6/16/2022,TOR,Kevin Gausman,6.10,1,6.5,110,1.1,-145,-0.689655172,0.476,0.592,0.410,0.590,-6.644%,-0.159%,0,1,0.00,,,,
6/16/2022,CLE,Triston McKenzie,3.91,1,4.5,-120,-0.833333333,-106,-0.943396226,0.545,0.515,0.354,0.646,-19.187%,13.185%,1,2,10.60,L,-10.60,-10.60,
6/16/2022,COL,Chad Kuhl,3.29,1,2.5,-160,-0.625,120,1.2,0.615,0.455,0.639,0.361,2.318%,-9.311%,0,1,0.00,,,,
6/16/2022,NYY,Luis Severino,6.42,1,6.5,-130,-0.769230769,102,1.02,0.565,0.495,0.461,0.539,-10.438%,4.411%,0,2,0.00,,,,
6/16/2022,PHI,Zack Wheeler,5.44,1,5.5,-142,-0.704225352,112,1.12,0.587,0.472,0.461,0.539,-12.601%,6.753%,1,2,5.00,W,5.60,5.60,
6/16/2022,WSH,Patrick Corbin,4.30,1,4.5,-122,-0.819672131,-104,-0.961538462,0.550,0.510,0.430,0.570,-11.999%,6.063%,1,2,5.20,W,5.00,5.00,
